sk_match_id,frame,minute,player_name,pass_recipient_name,pass_recipient_id,pass_recipient_position,sk_player_id,pass_angle,type_primary,type_secondary,location_x,location_y,pass_accurate,team_name,possession_team_name,possession_team_name_src,possession_types,period,receive_frame,receive_x,receive_y,target_area,ball_x_0,ball_y_0,ball_x_1,ball_y_1,player_x_1,player_y_1,player_1,ball_x_2,ball_y_2,player_x_2,player_y_2,player_2,ball_x_3,ball_y_3,player_x_3,player_y_3,player_3,sk_recipient_id,long_name,dist_0,dist_1,dist_2,dist_3,score_1,score_2,score_3,attack_score,defend_score,SoF,defender_box_count,attacker_count,defender_count,team,paired_player,min_distance,score_diff,success,ball_dist_1
1133199,21491,35,S. Ingle,J. Rytting Kaneryd,248585,RWB,57094.0,21,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],63,73,True,Chelsea,Chelsea,In Contest,['attack' 'transition_medium'],1.0,21507.0,-30.27,30.25,True,-29.77,28.56,-48.8,33.11,-49.69,31.64,63556.0,,,,,,,,,,,63556,Anna Johanna Rytting Kaneryd,36.95639863406606,31.691729204951884,,,1,0,0,1,0,155.0853205335847,0,2,4,home,68736,6.378165880564724,1,1,1.7184295155751945
1133199,21848,36,S. Nüsken,M. Mjelde,55591,RCB3,63800.0,49,pass,['short_or_medium_pass'],89,86,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],1.0,21850.0,-45.38,32.49,True,-44.32,30.9,-31.54,32.26,-34.41,32.95,22354.0,-12.88,28.55,-3.99,22.38,57094.0,0.79,12.06,-16.15,25.25,22607.0,22354,Maren Mjelde,33.06137474455653,37.11833239788663,52.51727810920897,43.44174259856527,0,0,0,1,0,21.80048792660623,6,4,6,home,68683,4.508569617960891,1,0,2.9517791245281195
1133199,22053,36,G. Reiten,N. Charles,401061,LWB,22364.0,-72,pass,['short_or_medium_pass'],74,24,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],1.0,22062.0,-26.65,-30.55,True,-27.64,-29.11,-22.82,-16.32,-23.58,-17.68,57099.0,-17.3,5.81,-13.98,7.23,22354.0,,,,,,57099,Niamh Louise Charles,39.38051548672262,33.047069461602796,38.21025124230407,,1,0,0,1,0,22.77981673432047,0,5,7,home,62787,5.486392257212384,1,1,1.5579473675320343
1133199,23402,38,G. Clinton,A. Neville,543418,LB,68683.0,-170,pass,['back_pass' 'short_or_medium_pass'],70,8,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],1.0,23402.0,17.44,33.41,True,17.88,33.05,19.81,33.17,17.77,33.11,68736.0,,,,,,,,,,,68736,Ashleigh Neville,47.71070844160669,47.26505051303764,,,0,0,0,0,1,32.34117108910656,0,5,8,away,63800,8.126899777898085,-1,0,2.0408821622033932
1133199,24764,41,A. James,C. Bizet Ildhusøy,501647,RCMF3,64167.0,-16,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],53,89,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'transition_medium'],1.0,24775.0,20.26,-24.68,True,19.76,-26.13,19.26,-24.79,23.37,-26.34,62787.0,24.62,-21.97,21.96,-23.97,63782.0,35.97,30.0,42.87,29.45,22354.0,62787,Celin Bizet Ildhusøy,39.812560831978644,38.536897903178456,38.041720518399266,30.688424527824818,0,0,1,0,1,60.28597973254432,0,1,3,away,57093,1.800694310536909,-1,0,4.392561894839957
1133199,24916,41,A. Neville,G. Clinton,684474,LWF,68736.0,18,pass,['forward_pass' 'short_or_medium_pass'],71,4,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'transition_medium'],1.0,24925.0,29.54,27.07,True,29.27,28.72,33.72,20.06,33.72,24.11,68683.0,,,,,,,,,,,68683,Grace Clinton,34.85723023993731,29.95697748438584,,,1,0,0,0,1,55.419736878296135,2,2,4,away,63556,6.088021024930843,-1,1,4.050000000000001
1133199,25295,41,S. Ingle,M. Fishel,547806,CF,57094.0,-17,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],58,94,True,Chelsea,Chelsea,Chelsea,['attack'],1.0,25304.0,-20.65,21.34,True,-19.18,21.98,-14.67,20.29,-16.89,21.13,769835.0,-6.38,13.65,-8.18,16.84,146967.0,-11.57,-18.04,-7.91,-18.19,57093.0,769835,Mia Renee Fishel,37.51157288091237,40.5503267557735,46.478037824331615,47.23308374434175,0,0,0,1,0,16.852256079974044,0,3,4,home,68737,0.9121403400793109,1,0,2.3736048533822984
1133199,25421,42,N. Charles,J. Carter,301620,LCB3,57099.0,141,pass,['back_pass' 'short_or_medium_pass'],74,12,True,Chelsea,Chelsea,Chelsea,['attack'],1.0,25435.0,-19.03,-26.71,True,-20.07,-28.13,-18.26,-19.27,-17.97,-22.51,57093.0,-20.71,-7.14,-17.29,-5.73,57094.0,-34.91,-15.84,-32.37,-15.26,22364.0,57093,Jessica Carter,42.044321852064634,40.38515816485061,34.68655359069275,24.47089087058336,0,1,1,1,0,122.26548623996645,5,7,10,home,62787,11.746373908572805,1,1,3.2529525050329298
1133199,30122,45,M. Bright,N. Charles,401061,LWB,22607.0,-36,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],32,47,True,Chelsea,Chelsea,Chelsea,,2.0,30163.0,26.06,24.72,True,26.93,26.0,23.68,23.29,21.7,26.58,57099.0,,,,,,,,,,,57099,Niamh Louise Charles,35.47212990503953,39.93164659765485,,,0,0,0,1,0,16.69733179693275,0,2,6,home,62787,0.7789736837660163,1,0,3.839856768162062
1133199,31179,46,G. Reiten,N. Charles,401061,LWB,22364.0,-19,pass,['forward_pass' 'short_or_medium_pass'],70,24,True,Chelsea,Chelsea,Chelsea,['attack'],2.0,31190.0,36.75,22.96,True,36.44,21.22,46.39,11.35,46.8,13.88,57099.0,,,,,,,,,,,57099,Niamh Louise Charles,27.289633562948403,14.654159818972905,,,1,0,0,1,0,142.77392115731413,3,1,3,home,64167,5.27274122255208,1,1,2.563006047593334
1133199,59327,93,J. Fleming,A. Lawrence,138921,RCB3,22733.0,104,pass,['lateral_pass' 'short_or_medium_pass'],73,67,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59337.0,19.72,-27.34,True,20.12,-26.07,23.05,-27.86,20.75,-27.04,22726.0,,,,,,,,,,,22726,Ashley Lawrence,41.92187972884804,40.94782167588405,,,0,0,0,2,1,119.14311121432023,0,6,7,home,63774,10.463713489961393,1,0,2.441802612825206
1133199,59644,94,F. Kirby,S. Ingle,136433,DMF,22611.0,158,pass,['back_pass' 'short_or_medium_pass'],83,85,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59650.0,26.48,-29.75,True,28.26,-29.96,25.84,-31.55,23.35,-30.04,57094.0,24.54,-30.71,25.38,-32.67,22726.0,19.73,-25.5,21.91,-23.25,22435.0,57094,Sophie Ingle,38.87239251705508,41.16824140038046,41.82802051257028,37.631510732363644,0,0,0,2,1,24.52967007487716,4,8,9,home,68740,1.484318025222359,1,0,2.912078295650719
1133199,59661,94,S. Ingle,A. Lawrence,138921,RCB3,57094.0,17,pass,['forward_pass' 'short_or_medium_pass'],73,91,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59666.0,31.7,-33.17,True,30.07,-32.84,24.54,-30.71,25.38,-32.67,22726.0,19.73,-25.5,21.91,-23.25,22435.0,7.48,-29.36,10.1,-29.34,57094.0,22726,Ashley Lawrence,38.63015531938747,41.82802051257028,37.631510732363644,50.74244377244754,0,0,0,2,1,9.483029614623513,3,6,7,home,68733,2.396768658006025,1,0,2.132416469641895
1133199,59739,94,M. Bright,J. Canković,127975,RCMF3,22607.0,4,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],42,80,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59754.0,22.74,-25.39,True,21.25,-24.75,19.72,-24.7,19.1,-23.9,157708.0,42.02,-17.29,42.63,-19.22,22726.0,,,,,,157708,Jelena  Canković,38.36391142727759,40.261271713645606,21.168025415706584,,0,1,0,2,1,87.83843940811383,0,3,4,home,68736,7.438716287102232,1,1,1.0121264743103986
1133199,59783,94,J. Canković,A. Lawrence,138921,RCB3,157708.0,23,pass,['forward_pass' 'short_or_medium_pass'],70,83,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59788.0,22.57,-27.59,True,22.32,-25.89,42.02,-17.29,42.63,-19.22,22726.0,,,,,,,,,,,22726,Ashley Lawrence,39.97690583324327,21.168025415706584,,,1,0,0,2,1,112.28423865639859,0,3,5,home,63774,4.986632130005181,1,1,2.0241047403728887
1133199,60216,95,M. Bright,M. Fishel,547806,SS,22607.0,-6,pass,"['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'
 'recovery' 'counterpressing_recovery']",53,16,True,Chelsea,Chelsea,In Contest,['attack'],2.0,60240.0,35.22,25.51,True,34.31,27.14,43.52,30.93,45.37,29.14,769835.0,,,,,,,,,,,769835,Mia Renee Fishel,30.2621628440533,29.77778534411181,,,0,0,0,2,1,106.17373175741758,0,0,1,home,64113,4.232741428436187,1,0,2.5742183279589894
1133199,33342,50,S. Nüsken,L. James,540393,AMF,63800.0,75,pass,['lateral_pass' 'pass_to_final_third' 'short_or_medium_pass'],64,55,True,Chelsea,Chelsea,Chelsea,['attack'],2.0,33354.0,18.28,-24.63,True,18.31,-22.97,24.5,-25.72,22.99,-24.5,146967.0,46.17,-13.6,44.77,-13.69,769835.0,,,,,,146967,Lauren James,41.35462851967117,37.59082467837065,15.254802522484516,,1,1,0,1,0,102.81908933730067,0,6,9,home,68683,9.055523176492894,1,1,1.9412624758130987
1133199,35952,54,A. Neville,C. Bizet Ildhusøy,501647,RCMF3,68736.0,-20,pass,['forward_pass' 'pass_to_final_third' 'short_or_medium_pass'],62,14,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack'],2.0,35959.0,-22.11,-31.61,True,-21.03,-30.55,-25.45,-29.31,-22.93,-29.79,62787.0,-35.7,-27.4,-36.42,-28.5,68683.0,-47.29,-12.79,-47.99,-14.53,68736.0,62787,Celin Bizet Ildhusøy,43.16206899582085,41.27576770939579,32.24370326125707,14.94794300229968,0,1,1,0,2,30.182093434882,0,3,5,away,22354,5.871507472532076,-2,1,2.565306999171834
1133199,35974,54,C. Bizet Ildhusøy,G. Clinton,684474,LWF,62787.0,3,pass,['forward_pass' 'progressive_pass' 'short_or_medium_pass'],72,9,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack'],2.0,35997.0,-38.84,-30.61,True,-40.71,-30.31,-35.7,-27.4,-36.42,-28.5,68683.0,-47.29,-12.79,-47.99,-14.53,68736.0,,,,,,68683,Grace Clinton,33.12472943285726,32.24370326125707,14.94794300229968,,0,1,0,0,2,72.20548597375529,1,0,1,away,22354,5.291814433632386,-2,1,1.3146862743635843
1133199,36048,54,G. Clinton,A. Neville,543418,LB,68683.0,135,pass,['lateral_pass' 'short_or_medium_pass'],91,11,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack'],2.0,36056.0,-32.41,-20.44,True,-34.09,-21.2,-47.29,-12.79,-47.99,-14.53,68736.0,,,,,,,,,,,68736,Ashleigh Neville,27.968226615214633,14.94794300229968,,,1,0,0,0,2,18.434585824594237,3,4,6,away,63556,1.1856221995222609,-2,1,1.87552659272003
