sk_match_id,frame,minute,player_name,pass_recipient_name,pass_recipient_id,pass_recipient_position,sk_player_id,pass_angle,type_primary,type_secondary,location_x,location_y,pass_accurate,team_name,possession_team_name,possession_team_name_src,possession_types,period,receive_frame,receive_x,receive_y,target_area,ball_x_0,ball_y_0,ball_x_1,ball_y_1,player_x_1,player_y_1,player_1,ball_x_2,ball_y_2,player_x_2,player_y_2,player_2,ball_x_3,ball_y_3,player_x_3,player_y_3,player_3,sk_recipient_id,long_name
1404692,11214,18,E. Summanen,G. Clinton,684474,LW,63774.0,-84,pass,['lateral_pass' 'short_or_medium_pass'],70,41,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack'],1.0,11225.0,-21.81,-30.46,True,-20.93,-28.81,,,,,,,,,,,,,,,,68683,Grace Clinton
1404692,12636,20,B. England,A. Nildén,329585,LB,57098.0,-59,pass,['lateral_pass' 'linkup_play' 'short_or_medium_pass'],74,34,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['set_piece_attack' 'attack' 'free_kick'],1.0,12648.0,-22.11,-27.17,True,-23.78,-26.54,-28.97,-28.15,-30.4,-28.45,62520.0,-14.96,-23.75,-17.09,-26.91,68683.0,-9.89,1.81,-9.41,2.97,149872.0,62520,Amanda Nildén
1404692,12701,21,A. Nildén,G. Clinton,684474,LW,62520.0,180,pass,['back_pass' 'short_or_medium_pass'],83,12,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['set_piece_attack' 'attack' 'free_kick'],1.0,12708.0,-21.22,-28.37,True,-22.96,-28.38,-14.96,-23.75,-17.09,-26.91,68683.0,-9.89,1.81,-9.41,2.97,149872.0,-14.94,-11.9,-13.88,-7.63,68740.0,68683,Grace Clinton
1404692,12814,21,K. Graham,A. Nildén,329585,LB,68740.0,-47,pass,['lateral_pass' 'short_or_medium_pass'],68,34,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['set_piece_attack' 'attack' 'free_kick'],1.0,12830.0,-25.09,-29.61,True,-24.93,-28.06,-30.67,-26.15,-28.35,-28.5,62520.0,-31.81,-12.19,-34.97,-7.44,22628.0,-14.95,-14.87,-12.61,-20.25,63774.0,62520,Amanda Nildén
1404692,14910,24,A. Nildén,B. England,11398,CF,62520.0,10,pass,['forward_pass' 'short_or_medium_pass'],74,7,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],1.0,14915.0,-20.31,-32.02,True,-18.63,-32.47,-16.0,-30.17,-19.17,-32.43,57098.0,-11.04,-24.32,-13.5,-25.42,68683.0,4.72,-9.23,7.61,-11.24,63774.0,57098,Bethany England
1404692,18032,29,A. Patten,A. Leon,138911,CF,68719.0,9,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],30,77,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],1.0,18076.0,34.68,-27.55,True,35.41,-29.08,47.55,-32.18,47.91,-32.1,22735.0,42.13,-26.98,42.35,-28.63,64130.0,24.65,-22.19,26.44,-19.85,68740.0,22735,Adriana Leon
1404692,18112,30,A. Leon,A. Lehmann,374550,RW,22735.0,167,pass,['back_pass' 'short_or_medium_pass'],95,89,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],1.0,18120.0,42.91,-30.33,True,44.7,-30.57,42.13,-26.98,42.35,-28.63,64130.0,24.65,-22.19,26.44,-19.85,68740.0,9.67,-25.29,11.3,-29.1,57098.0,64130,Alisha Lehmann
1404692,18587,30,S. Magill,K. Hanson,369532,LW,62772.0,-36,pass,['forward_pass' 'pass_to_final_third' 'short_or_medium_pass'],65,31,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],1.0,18587.0,22.1,26.93,True,22.82,26.94,42.76,21.29,39.36,27.22,64066.0,40.51,6.85,38.21,5.57,22735.0,,,,,,64066,Kirsty Hanson
1404692,19020,31,J. Nobbs,K. Hanson,369532,LW,63765.0,-85,pass,['short_or_medium_pass'],76,40,True,Aston Villa,Aston Villa,Aston Villa,['attack'],1.0,19036.0,31.53,20.19,True,31.79,18.21,40.92,19.05,41.43,18.2,64066.0,43.58,20.66,44.13,16.29,60443.0,40.42,28.58,42.06,30.96,64066.0,64066,Kirsty Hanson
1404692,19183,31,R. Corsie,K. Hanson,369532,LW,22628.0,-35,pass,['forward_pass' 'short_or_medium_pass'],67,22,True,Aston Villa,Aston Villa,Aston Villa,['attack'],1.0,19191.0,27.74,32.01,True,26.03,31.9,19.53,30.25,21.62,31.01,64066.0,-7.93,29.72,-5.5,31.97,64114.0,-21.77,-3.12,-24.32,0.92,63552.0,64066,Kirsty Hanson
1404692,21278,35,A. Lehmann,S. Mayling,230789,RB,64130.0,180,pass,['back_pass' 'recovery' 'short_or_medium_pass'],79,86,True,Aston Villa,Aston Villa,Aston Villa,['attack'],1.0,21285.0,22.45,-30.95,True,23.59,-29.79,22.62,-28.36,20.93,-31.45,68672.0,33.32,-4.0,33.23,-4.55,22735.0,,,,,,68672,Sarah Emma Mayling
1404692,21296,35,S. Mayling,A. Leon,138911,CF,68672.0,-55,pass,['lateral_pass' 'progressive_pass' 'short_or_medium_pass'],70,86,True,Aston Villa,Aston Villa,Aston Villa,['attack'],1.0,21305.0,26.43,-24.56,True,24.79,-24.62,33.32,-4.0,33.23,-4.55,22735.0,,,,,,,,,,,22735,Adriana Leon
1404692,25170,41,M. Pacheco,S. Magill,136663,LCMF,68670.0,40,pass,"['forward_pass' 'recovery' 'counterpressing_recovery'
 'short_or_medium_pass']",70,15,True,Aston Villa,Aston Villa,In Contest,['attack' 'throw_in'],1.0,25171.0,28.24,22.4,True,26.41,23.19,28.44,23.26,28.79,22.18,62772.0,38.4,22.23,37.87,25.48,64066.0,37.76,6.59,40.37,4.18,68737.0,62772,Simone Magill
1404692,25186,41,S. Magill,K. Hanson,369532,LW,62772.0,-59,pass,['short_or_medium_pass'],76,22,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],1.0,25188.0,27.58,25.58,True,28.66,24.48,38.4,22.23,37.87,25.48,64066.0,37.76,6.59,40.37,4.18,68737.0,24.76,14.02,20.11,13.3,22628.0,64066,Kirsty Hanson
1404692,26418,43,A. Nildén,G. Clinton,684474,LW,62520.0,-4,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],37,20,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['transition_low'],1.0,26478.0,-37.4,-22.41,True,-39.17,-22.05,,,,,,,,,,,,,,,,68683,Grace Clinton
1404692,26513,44,E. Summanen,A. Nildén,329585,LB,63774.0,-27,pass,"['forward_pass' 'recovery' 'counterpressing_recovery'
 'short_or_medium_pass']",77,22,True,Tottenham Hotspur,Tottenham Hotspur,In Contest,['attack'],1.0,26522.0,-31.5,-26.67,True,-33.08,-25.69,,,,,,,,,,,,,,,,62520,Amanda Nildén
1404692,28053,46,J. Nobbs,S. Mayling,230789,RB,63765.0,86,pass,"['lateral_pass' 'recovery' 'counterpressing_recovery'
 'short_or_medium_pass']",68,71,True,Aston Villa,Aston Villa,In Contest,['attack' 'transition_high'],1.0,28065.0,17.86,-27.04,True,19.03,-26.03,18.3,-25.92,17.3,-27.59,68672.0,20.86,-22.41,19.21,-21.16,22628.0,,,,,,68672,Sarah Emma Mayling
1404692,28073,46,S. Mayling,R. Corsie,62833,DMF,68672.0,-122,pass,['lateral_pass' 'short_or_medium_pass'],69,89,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'transition_high'],1.0,28080.0,18.42,-20.76,True,18.98,-22.6,20.86,-22.41,19.21,-21.16,22628.0,,,,,,,,,,,22628,Rachel Corsie
1404692,28881,47,R. Corsie,A. Leon,138911,CF,22628.0,-38,pass,['forward_pass' 'pass_to_final_third' 'short_or_medium_pass'],62,35,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],1.0,28888.0,27.45,25.6,True,25.93,24.95,,,,,,,,,,,,,,,,22735,Adriana Leon
1404692,29024,48,R. Corsie,K. Hanson,369532,LW,22628.0,0,pass,"['forward_pass' 'pass_to_final_third' 'progressive_pass'
 'short_or_medium_pass']",64,11,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],1.0,29027.0,29.02,32.67,True,27.06,32.68,32.63,31.68,31.27,30.82,64066.0,37.15,29.23,37.02,31.67,68670.0,41.27,12.27,40.56,13.24,22735.0,64066,Kirsty Hanson
1404692,29041,48,K. Hanson,M. Pacheco,353247,LB,64066.0,-18,pass,['forward_pass' 'short_or_medium_pass'],77,11,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],1.0,29042.0,34.78,32.37,True,33.38,32.05,37.15,29.23,37.02,31.67,68670.0,41.27,12.27,40.56,13.24,22735.0,,,,,,68670,Mayumi Pacheco
1404692,29054,48,M. Pacheco,A. Leon,138911,CF,68670.0,69,pass,"['deep_completion' 'lateral_pass' 'pass_to_penalty_area'
 'progressive_pass' 'short_or_medium_pass' 'shot_assist']",83,7,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],1.0,29060.0,37.4,21.7,True,38.45,23.16,41.27,12.27,40.56,13.24,22735.0,,,,,,,,,,,22735,Adriana Leon
1404692,29851,45,G. Clinton,C. Grant,743438,RB,68683.0,117,pass,['short_or_medium_pass'],76,81,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],2.0,29860.0,16.93,-32.99,True,17.15,-31.05,17.31,-30.71,16.45,-32.84,60443.0,25.53,-24.24,26.23,-23.53,57098.0,20.19,-22.33,21.31,-23.02,68683.0,60443,Charlotte Layne Grant
1404692,29867,45,C. Grant,B. England,11398,CF,60443.0,-69,pass,['lateral_pass' 'long_pass' 'progressive_pass'],72,92,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],2.0,29885.0,26.38,-23.45,True,25.19,-24.23,25.53,-24.24,26.23,-23.53,57098.0,20.19,-22.33,21.31,-23.02,68683.0,16.38,-21.11,15.41,-18.57,68740.0,57098,Bethany England
1404692,29886,45,B. England,G. Clinton,684474,LW,57098.0,180,pass,['back_pass' 'short_or_medium_pass'],77,74,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],2.0,29886.0,25.56,-25.59,True,25.53,-24.24,20.19,-22.33,21.31,-23.02,68683.0,16.38,-21.11,15.41,-18.57,68740.0,16.95,-23.23,16.77,-24.52,68683.0,68683,Grace Clinton
1404692,29936,45,K. Graham,G. Clinton,684474,LW,68740.0,62,pass,['lateral_pass' 'short_or_medium_pass'],69,54,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],2.0,29937.0,17.06,-23.7,True,16.54,-21.97,16.95,-23.23,16.77,-24.52,68683.0,16.19,-8.15,16.23,-10.57,68740.0,35.2,20.73,33.9,22.15,62520.0,68683,Grace Clinton
1404692,29971,45,K. Graham,A. Nildén,329585,LB,68740.0,-71,pass,['lateral_pass' 'short_or_medium_pass'],71,53,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],2.0,29993.0,26.59,21.07,True,27.69,19.44,35.2,20.73,33.9,22.15,62520.0,45.29,24.79,39.25,21.59,68672.0,,,,,,62520,Amanda Nildén
1404692,31738,48,S. Mayling,A. Lehmann,374550,RW,68672.0,45,pass,['forward_pass' 'short_or_medium_pass'],70,83,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,31752.0,-29.42,28.38,True,-28.52,26.63,-34.3,25.86,-32.48,26.44,64130.0,-30.24,29.28,-32.6,31.77,63765.0,-26.45,29.93,-23.84,27.74,68672.0,64130,Alisha Lehmann
1404692,31767,48,A. Lehmann,J. Nobbs,11172,RCMF,64130.0,-8,pass,['forward_pass' 'progressive_pass' 'short_or_medium_pass'],74,88,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,31772.0,-38.55,21.74,True,-38.03,23.23,-30.24,29.28,-32.6,31.77,63765.0,-26.45,29.93,-23.84,27.74,68672.0,,,,,,63765,Jordan Nobbs
1404692,31815,48,J. Nobbs,S. Mayling,230789,RB,63765.0,-112,pass,['short_or_medium_pass'],74,93,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,31819.0,-24.68,27.5,True,-26.24,28.7,-26.45,29.93,-23.84,27.74,68672.0,,,,,,,,,,,68672,Sarah Emma Mayling
1404692,31823,48,S. Mayling,J. Nobbs,11172,RCMF,68672.0,60,pass,['short_or_medium_pass'],72,85,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,31830.0,-32.29,33.04,True,-31.31,31.86,,,,,,,,,,,,,,,,63765,Jordan Nobbs
1404692,33622,51,C. Bizet Ildhusøy,C. Grant,743438,RB,62787.0,54,pass,['short_or_medium_pass'],72,85,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],2.0,33628.0,19.97,-33.71,True,21.07,-32.18,22.22,-31.34,20.7,-33.63,60443.0,,,,,,,,,,,60443,Charlotte Layne Grant
1404692,36354,56,K. Graham,C. Bizet Ildhusøy,501647,RW,68740.0,9,pass,"['forward_pass' 'pass_to_final_third' 'progressive_pass'
 'short_or_medium_pass' 'under_pressure']",61,87,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack'],2.0,36371.0,26.09,-29.61,True,26.52,-31.3,35.13,-30.44,33.52,-32.44,62787.0,37.28,-8.18,38.77,-4.43,68719.0,23.0,-11.33,21.01,-14.08,68740.0,62787,Celin Bizet Ildhusøy
1404692,37285,58,B. England,A. Nildén,329585,LB,57098.0,-164,pass,['back_pass' 'short_or_medium_pass'],88,14,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],2.0,37288.0,40.95,32.98,True,40.51,31.26,,,,,,,,,,,,,,,,62520,Amanda Nildén
1404692,37529,58,M. Bartrip,A. Nildén,329585,LB,68737.0,-43,pass,['forward_pass' 'pass_to_final_third' 'short_or_medium_pass'],54,24,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],2.0,37570.0,26.95,33.71,True,27.26,31.94,,,,,,,,,,,,,,,,62520,Amanda Nildén
1404692,42096,66,M. Pacheco,S. Magill,136663,CF,68670.0,0,pass,['forward_pass' 'recovery' 'short_or_medium_pass'],67,19,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,42102.0,-24.95,-22.55,True,-23.06,-22.32,-24.01,-20.07,-25.54,-21.98,62772.0,-34.28,-13.99,-31.49,-13.62,68670.0,,,,,,62772,Simone Magill
1404692,43574,68,A. Nildén,E. Summanen,351322,LCMF,62520.0,-73,pass,['lateral_pass' 'long_pass' 'recovery' 'counterpressing_recovery'],68,62,True,Tottenham Hotspur,Tottenham Hotspur,In Contest,['corner' 'set_piece_attack' 'attack'],2.0,43605.0,29.02,29.77,True,28.22,28.03,32.2,25.74,29.89,27.26,63774.0,39.24,8.71,45.22,9.98,68672.0,35.16,0.1,31.75,-0.38,68740.0,63774,Eveliina Summanen
1404692,44294,69,J. Nobbs,S. Magill,136663,CF,63765.0,171,pass,['back_pass' 'short_or_medium_pass'],90,89,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,44309.0,-35.74,28.87,True,-35.13,30.64,-35.18,25.2,-36.65,28.58,62772.0,-30.7,25.05,-34.18,23.17,42786.0,-23.79,28.93,-22.65,32.5,68672.0,62772,Simone Magill
1404692,44315,69,S. Magill,K. Dali,27242,LCMF,62772.0,-98,pass,['short_or_medium_pass'],79,92,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,44318.0,-32.88,22.68,True,-34.46,23.48,-30.7,25.05,-34.18,23.17,42786.0,-23.79,28.93,-22.65,32.5,68672.0,-26.68,27.76,-21.12,17.81,22628.0,42786,Kenza Dali
1404692,44358,69,R. Corsie,J. Nobbs,11172,RCMF,22628.0,56,pass,['short_or_medium_pass'],71,76,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,44370.0,-32.89,32.32,True,-33.35,30.45,-30.85,31.41,-33.47,32.31,63765.0,-22.73,32.82,-21.87,31.76,68672.0,-16.8,36.97,-26.47,27.74,63774.0,63765,Jordan Nobbs
1404692,44394,69,J. Nobbs,S. Mayling,230789,RB,63765.0,164,pass,['back_pass' 'short_or_medium_pass'],77,90,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,44404.0,-22.02,31.73,True,-23.46,32.8,-22.73,32.82,-21.87,31.76,68672.0,-16.8,36.97,-26.47,27.74,63774.0,,,,,68683.0,68672,Sarah Emma Mayling
1404692,44837,70,R. Corsie,K. Hanson,369532,LW,22628.0,-39,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],58,50,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,44859.0,-30.73,-23.46,True,-32.17,-22.23,-38.11,-23.18,-38.7,-24.53,64066.0,-36.16,-22.21,-36.0,-21.01,22735.0,-47.35,-19.51,-47.4,-21.08,64066.0,64066,Kirsty Hanson
1404692,44884,70,K. Hanson,A. Leon,138911,RW,64066.0,56,pass,['short_or_medium_pass'],89,12,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,44888.0,-34.75,-20.23,True,-36.07,-21.53,-36.16,-22.21,-36.0,-21.01,22735.0,-47.35,-19.51,-47.4,-21.08,64066.0,,,,,,22735,Adriana Leon
1404692,44894,70,A. Leon,K. Hanson,369532,LW,22735.0,18,pass,['forward_pass' 'short_or_medium_pass'],90,16,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,44897.0,-37.48,-25.27,True,-37.01,-23.85,-47.35,-19.51,-47.4,-21.08,64066.0,,,,,,,,,,,64066,Kirsty Hanson
1404692,45549,71,R. Corsie,K. Hanson,369532,LW,22628.0,-45,pass,['forward_pass' 'pass_to_final_third' 'recovery' 'short_or_medium_pass'],63,29,True,Aston Villa,Aston Villa,Aston Villa,['attack'],2.0,45557.0,-23.45,-25.6,True,-22.86,-24.18,-29.46,-17.76,-26.99,-17.25,64066.0,-17.0,-23.59,-14.01,-24.0,68670.0,-25.33,-22.68,-22.4,-22.41,64066.0,64066,Kirsty Hanson
1404692,45631,71,M. Pacheco,K. Hanson,369532,LW,68670.0,38,pass,"['forward_pass' 'pass_to_final_third' 'progressive_pass'
 'short_or_medium_pass']",63,15,True,Aston Villa,Aston Villa,Aston Villa,['attack'],2.0,45634.0,-22.13,-22.1,True,-20.83,-22.92,-25.33,-22.68,-22.4,-22.41,64066.0,-43.61,-11.75,-44.93,-12.81,42786.0,-44.48,-4.15,-39.76,-4.56,63765.0,64066,Kirsty Hanson
1404692,45638,71,K. Hanson,K. Dali,27242,LCMF,64066.0,-40,pass,['forward_pass' 'short_or_medium_pass'],75,29,True,Aston Villa,Aston Villa,Aston Villa,['attack'],2.0,45658.0,-34.31,-25.13,True,-36.12,-24.97,-43.61,-11.75,-44.93,-12.81,42786.0,-44.48,-4.15,-39.76,-4.56,63765.0,,,,,,42786,Kenza Dali
1404692,46453,73,M. Pacheco,K. Dali,27242,LCMF,68670.0,101,pass,['short_or_medium_pass'],75,14,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,46456.0,-26.79,-24.12,True,-25.69,-25.11,-22.04,-23.84,-24.77,-23.83,42786.0,-13.5,-23.39,-11.53,-22.44,64114.0,-13.23,-25.2,-15.19,-26.78,42786.0,42786,Kenza Dali
1404692,46490,73,N. Maritz,K. Dali,27242,LCMF,64114.0,-45,pass,['pass_to_final_third' 'short_or_medium_pass'],66,19,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,46495.0,-17.52,-26.94,True,-16.34,-25.79,-13.23,-25.2,-15.19,-26.78,42786.0,0.0,-15.52,-1.0,-17.78,64114.0,29.12,7.47,23.46,8.97,68683.0,42786,Kenza Dali
1404692,49112,77,J. Nobbs,A. Leon,138911,RW,63765.0,90,pass,['short_or_medium_pass'],69,81,True,Aston Villa,Aston Villa,Aston Villa,['attack' 'throw_in'],2.0,49120.0,-34.57,32.34,True,-34.12,30.69,,,,,,,,,,,,,,,,22735,Adriana Leon
1404692,49830,78,M. Bartrip,A. Nildén,329585,LB,68737.0,-30,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],42,30,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['set_piece_attack' 'attack' 'free_kick'],2.0,49861.0,22.27,26.83,True,21.93,28.73,30.42,21.22,29.51,25.55,62520.0,35.26,5.63,36.17,9.0,68683.0,31.73,-8.14,28.22,-8.27,68740.0,62520,Amanda Nildén
1404692,52135,82,K. Graham,R. Petzelberger,18626,RB,68740.0,25,pass,['forward_pass' 'progressive_pass' 'short_or_medium_pass'],69,62,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'transition_medium'],2.0,52166.0,41.11,-24.16,True,42.85,-23.25,49.52,-18.13,49.68,-21.45,68679.0,50.31,-12.2,49.83,-17.7,68670.0,,,,,,68679,Ramona Petzelberger
1404692,52688,83,A. Turner,G. Clinton,684474,LW,149872.0,-55,pass,['lateral_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],57,59,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'transition_high'],2.0,52711.0,30.15,22.16,True,29.38,20.37,27.59,16.22,25.66,20.22,68683.0,,,,,,,,,,,68683,Grace Clinton
1404692,54966,87,R. Petzelberger,J. Naz,480978,CF,68679.0,-34,pass,"['forward_pass' 'pass_to_final_third' 'progressive_pass'
 'short_or_medium_pass']",65,85,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['throw_in'],2.0,54973.0,19.84,-24.32,True,18.69,-24.43,,,,,,,,,,,,,,,,68733,Jessica Naz
