sk_match_id,frame,minute,player_name,pass_recipient_name,pass_recipient_id,pass_recipient_position,sk_player_id,pass_angle,type_primary,type_secondary,location_x,location_y,pass_accurate,team_name,possession_team_name,possession_team_name_src,possession_types,period,receive_frame,receive_x,receive_y,target_area,ball_x_0,ball_y_0,ball_x_1,ball_y_1,player_1,ball_x_2,ball_y_2,player_2,ball_x_3,ball_y_3,player_3,player_0,sk_recipient_id,long_name,dist_0,dist_1,dist_2,dist_3,score_1,score_2,score_3,attack_score,defend_score,SoF,attacker_count,defender_count,team,combined_score
1133199,19926,33,M. Mjelde,J. Rytting Kaneryd,248585,RWB,22354.0,3,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],45,85,True,Chelsea,Chelsea,Chelsea,,1.0,19985.0,-47.33,27.06,True,-48.46,28.65,-46.95,1.57,,,,,,,,,63556,Anna Johanna Rytting Kaneryd,28.810833032038484,4.813252538564746,,,1,0,0,1,0,26.809008177388876,0,1,home,1.0
1133199,20869,34,N. Charles,G. Reiten,55732,AMF,57099.0,18,pass,"['forward_pass' 'pass_to_penalty_area' 'progressive_pass'
 'short_or_medium_pass']",73,15,True,Chelsea,Chelsea,Chelsea,['attack' 'transition_medium'],1.0,20875.0,-31.91,-20.72,True,-31.59,-22.69,-43.76,-19.38,22364.0,-51.75,-23.45,64167.0,,,,,22364,Guro  Reiten,30.186821627988596,20.86844507863487,23.45133258473812,23.45133258473812,1,1,1,1,0,184.3696217620419,3,5,home,1.651225482111877
1133199,21491,35,S. Ingle,J. Rytting Kaneryd,248585,RWB,57094.0,21,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],63,73,True,Chelsea,Chelsea,In Contest,['attack' 'transition_medium'],1.0,21507.0,-30.27,30.25,True,-29.77,28.56,-48.8,33.11,63556.0,-47.41,34.53,68736.0,,,,,63556,Anna Johanna Rytting Kaneryd,35.88685692562111,33.21990517746852,34.77138191099112,34.77138191099112,1,0,0,1,0,167.6251745736577,2,4,home,1.0
1133199,21848,36,S. Nüsken,M. Mjelde,55591,RCB3,63800.0,49,pass,['short_or_medium_pass'],89,86,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],1.0,21850.0,-45.38,32.49,True,-44.32,30.9,-31.54,32.26,22354.0,-12.88,28.55,57094.0,0.79,12.06,22607.0,,22354,Maren Mjelde,31.723215473845016,37.93559278566766,48.02714753137021,48.02714753137021,0,0,0,1,0,28.84537141684108,4,6,home,0.0
1133199,22053,36,G. Reiten,N. Charles,401061,LWB,22364.0,-72,pass,['short_or_medium_pass'],74,24,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],1.0,22062.0,-26.65,-30.55,True,-27.64,-29.11,-22.82,-16.32,57099.0,-17.3,5.81,22354.0,,,,,57099,Niamh Louise Charles,37.6389651823745,32.99825449929132,34.690000000000005,34.690000000000005,1,1,1,1,0,31.844161190178397,5,7,home,1.651225482111877
1133199,23402,38,G. Clinton,A. Neville,543418,LB,68683.0,-170,pass,['back_pass' 'short_or_medium_pass'],70,8,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],1.0,23402.0,17.44,33.41,True,17.88,33.05,19.81,33.17,68736.0,32.01,35.25,,,,,,68736,Ashleigh Neville,47.14453202652456,45.874884196039126,40.27930734260459,40.27930734260459,0,1,1,0,1,17.92810077435279,5,8,away,0.6512254821118769
1133199,23411,38,A. Neville,G. Clinton,684474,LWF,68736.0,9,pass,['forward_pass' 'head_pass' 'short_or_medium_pass'],60,5,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'throw_in'],1.0,23412.0,22.78,32.34,True,21.17,33.02,32.01,35.25,,,,,,,,,68683,Grace Clinton,44.83558073673185,40.27930734260459,,,1,0,0,0,1,11.884837369555322,4,8,away,1.0
1133199,24764,41,A. James,C. Bizet Ildhusøy,501647,RCMF3,64167.0,-16,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],53,89,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'transition_medium'],1.0,24775.0,20.26,-24.68,True,19.76,-26.13,19.26,-24.79,62787.0,24.62,-21.97,63782.0,35.97,30.0,22354.0,,62787,Celin Bizet Ildhusøy,41.11209675995619,40.66892794259519,34.71621091075465,34.71621091075465,0,1,1,0,1,79.53224952254101,1,3,away,0.6512254821118769
1133199,24916,41,A. Neville,G. Clinton,684474,LWF,68736.0,18,pass,['forward_pass' 'short_or_medium_pass'],71,4,True,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,['attack' 'transition_medium'],1.0,24925.0,29.54,27.07,True,29.27,28.72,33.72,20.06,68683.0,,,,,,,,68683,Grace Clinton,36.318195164407605,26.80544720761062,,,1,0,0,0,1,49.1553009996382,2,4,away,1.0
1133199,25295,41,S. Ingle,M. Fishel,547806,CF,57094.0,-17,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],58,94,True,Chelsea,Chelsea,Chelsea,['attack'],1.0,25304.0,-20.65,21.34,True,-19.18,21.98,-14.67,20.29,769835.0,-6.38,13.65,146967.0,-11.57,-18.04,57093.0,,769835,Mia Renee Fishel,39.085838867804796,42.049173594733105,47.139547091587545,47.139547091587545,0,0,0,1,0,18.45721003562175,3,4,home,0.0
